name,K,index,category,compute_success,n_of_clauses
picorv32-check-p05,8,7,linear,False,NA
picorv32-check-p05,9,0,linear,False,NA
picorv32-check-p05,9,1,linear,False,NA
picorv32-check-p05,9,2,linear,False,NA
picorv32-check-p05,9,3,linear,False,NA
picorv32-check-p05,9,4,linear,False,NA
picorv32-check-p05,9,5,linear,False,NA
picorv32-check-p05,9,6,linear,False,NA
picorv32-check-p05,9,7,linear,False,NA
picorv32-check-p05,9,8,linear,False,NA
picorv32-check-p05,10,0,linear,False,NA
picorv32-check-p05,10,1,linear,False,NA
picorv32-check-p05,10,2,linear,False,NA
picorv32-check-p05,10,3,linear,False,NA
picorv32-check-p05,10,4,linear,False,NA
picorv32-check-p05,10,5,linear,False,NA
picorv32-check-p05,10,6,linear,False,NA
picorv32-check-p05,10,7,linear,False,NA
picorv32-check-p05,10,8,linear,False,NA
picorv32-check-p05,10,9,linear,False,NA
picorv32-check-p12,5,0,linear,False,NA
picorv32-check-p12,5,1,linear,False,NA
picorv32-check-p12,5,2,linear,False,NA
picorv32-check-p12,5,3,linear,False,NA
picorv32-check-p12,5,4,linear,False,NA
picorv32-check-p12,6,0,linear,False,NA
picorv32-check-p12,6,1,linear,False,NA
picorv32-check-p12,6,2,linear,False,NA
picorv32-check-p12,6,3,linear,False,NA
picorv32-check-p12,6,4,linear,False,NA
picorv32-check-p12,6,5,linear,False,NA
picorv32-check-p12,7,0,linear,False,NA
picorv32-check-p12,7,1,linear,False,NA
picorv32-check-p12,7,2,linear,False,NA
picorv32-check-p12,7,3,linear,False,NA
picorv32-check-p12,7,4,linear,False,NA
picorv32-check-p12,7,5,linear,False,NA
picorv32-check-p12,7,6,linear,False,NA
picorv32-check-p12,8,0,linear,False,NA
picorv32-check-p12,8,1,linear,False,NA
picorv32-check-p12,8,2,linear,False,NA
picorv32-check-p12,8,3,linear,False,NA
picorv32-check-p12,8,4,linear,False,NA
picorv32-check-p12,8,5,linear,False,NA
picorv32-check-p12,8,6,linear,False,NA
picorv32-check-p12,8,7,linear,False,NA
picorv32-check-p12,9,0,linear,False,NA
picorv32-check-p12,9,1,linear,False,NA
picorv32-check-p12,9,2,linear,False,NA
picorv32-check-p12,9,3,linear,False,NA
picorv32-check-p12,9,4,linear,False,NA
picorv32-check-p12,9,5,linear,False,NA
picorv32-check-p12,9,6,linear,False,NA
picorv32-check-p12,9,7,linear,False,NA
picorv32-check-p12,9,8,linear,False,NA
picorv32-check-p12,10,0,linear,False,NA
picorv32-check-p12,10,1,linear,False,NA
picorv32-check-p12,10,2,linear,False,NA
picorv32-check-p12,10,3,linear,False,NA
picorv32-check-p12,10,4,linear,False,NA
picorv32-check-p12,10,5,linear,False,NA
picorv32-check-p12,10,6,linear,False,NA
picorv32-check-p12,10,7,linear,False,NA
picorv32-check-p12,10,8,linear,False,NA
picorv32-check-p12,10,9,linear,False,NA
picorv32-check-p19,5,0,linear,False,NA
picorv32-check-p19,5,1,linear,False,NA
picorv32-check-p19,5,2,linear,False,NA
picorv32-check-p19,5,3,linear,False,NA
picorv32-check-p19,5,4,linear,False,NA
picorv32-check-p19,6,0,linear,False,NA
picorv32-check-p19,6,1,linear,False,NA
picorv32-check-p19,6,2,linear,False,NA
picorv32-check-p19,6,3,linear,False,NA
picorv32-check-p19,6,4,linear,False,NA
picorv32-check-p19,6,5,linear,False,NA
picorv32-check-p19,7,0,linear,False,NA
picorv32-check-p19,7,1,linear,False,NA
picorv32-check-p19,7,2,linear,False,NA
picorv32-check-p19,7,3,linear,False,NA
picorv32-check-p19,7,4,linear,False,NA
picorv32-check-p19,7,5,linear,False,NA
picorv32-check-p19,7,6,linear,False,NA
picorv32-check-p19,8,0,linear,False,NA
picorv32-check-p19,8,1,linear,False,NA
picorv32-check-p19,8,2,linear,False,NA
picorv32-check-p19,8,3,linear,False,NA
picorv32-check-p19,8,4,linear,False,NA
picorv32-check-p19,8,5,linear,False,NA
picorv32-check-p19,8,6,linear,False,NA
picorv32-check-p19,8,7,linear,False,NA
picorv32-check-p19,9,0,linear,False,NA
picorv32-check-p19,9,1,linear,False,NA
picorv32-check-p19,9,2,linear,False,NA
picorv32-check-p19,9,3,linear,False,NA
picorv32-check-p19,9,4,linear,False,NA
picorv32-check-p19,9,5,linear,False,NA
picorv32-check-p19,9,6,linear,False,NA
picorv32-check-p19,9,7,linear,False,NA
picorv32-check-p19,9,8,linear,False,NA
picorv32-check-p19,10,0,linear,False,NA
picorv32-check-p19,10,1,linear,False,NA
picorv32-check-p19,10,2,linear,False,NA
picorv32-check-p19,10,3,linear,False,NA
picorv32-check-p19,10,4,linear,False,NA
picorv32-check-p19,10,5,linear,False,NA
picorv32-check-p19,10,6,linear,False,NA
picorv32-check-p19,10,7,linear,False,NA
picorv32-check-p19,10,8,linear,False,NA
picorv32-check-p19,10,9,linear,False,NA
picorv32-check-p22,5,0,linear,False,NA
picorv32-check-p22,5,1,linear,False,NA
picorv32-check-p22,5,2,linear,False,NA
picorv32-check-p22,5,3,linear,False,NA
picorv32-check-p22,5,4,linear,False,NA
picorv32-check-p22,6,0,linear,False,NA
picorv32-check-p22,6,1,linear,False,NA
picorv32-check-p22,6,2,linear,False,NA
picorv32-check-p22,6,3,linear,False,NA
picorv32-check-p22,6,4,linear,False,NA
picorv32-check-p22,6,5,linear,False,NA
picorv32-check-p22,7,0,linear,False,NA
picorv32-check-p22,7,1,linear,False,NA
picorv32-check-p22,7,2,linear,False,NA
picorv32-check-p22,7,3,linear,False,NA
picorv32-check-p22,7,4,linear,False,NA
picorv32-check-p22,7,5,linear,False,NA
picorv32-check-p22,7,6,linear,False,NA
picorv32-check-p22,8,0,linear,False,NA
picorv32-check-p22,8,1,linear,False,NA
picorv32-check-p22,8,2,linear,False,NA
picorv32-check-p22,8,3,linear,False,NA
picorv32-check-p22,8,4,linear,False,NA
picorv32-check-p22,8,5,linear,False,NA
picorv32-check-p22,8,6,linear,False,NA
picorv32-check-p22,8,7,linear,False,NA
picorv32-check-p22,9,0,linear,False,NA
picorv32-check-p22,9,1,linear,False,NA
picorv32-check-p22,9,2,linear,False,NA
picorv32-check-p22,9,3,linear,False,NA
picorv32-check-p22,9,4,linear,False,NA
picorv32-check-p22,9,5,linear,False,NA
picorv32-check-p22,9,6,linear,False,NA
picorv32-check-p22,9,7,linear,False,NA
picorv32-check-p22,9,8,linear,False,NA
picorv32-check-p22,10,0,linear,False,NA
picorv32-check-p22,10,1,linear,False,NA
picorv32-check-p22,10,2,linear,False,NA
picorv32-check-p22,10,3,linear,False,NA
picorv32-check-p22,10,4,linear,False,NA
picorv32-check-p22,10,5,linear,False,NA
picorv32-check-p22,10,6,linear,False,NA
picorv32-check-p22,10,7,linear,False,NA
picorv32-check-p22,10,8,linear,False,NA
picorv32-check-p22,10,9,linear,False,NA
pj2002,5,0,linear,False,NA
pj2002,5,1,linear,False,NA
pj2002,5,2,linear,False,NA
pj2002,5,3,linear,False,NA
pj2002,5,4,linear,False,NA
pj2002,6,0,linear,False,NA
pj2002,6,1,linear,False,NA
pj2002,6,2,linear,False,NA
pj2002,6,3,linear,False,NA
pj2002,6,4,linear,False,NA
pj2002,6,5,linear,False,NA
pj2002,7,0,linear,False,NA
pj2002,7,1,linear,False,NA
pj2002,7,2,linear,False,NA
pj2002,7,3,linear,False,NA
pj2002,7,4,linear,False,NA
pj2002,7,5,linear,False,NA
pj2002,7,6,linear,False,NA
pj2002,8,0,linear,False,NA
pj2002,8,1,linear,False,NA
pj2002,8,2,linear,False,NA
pj2002,8,3,linear,False,NA
pj2002,8,4,linear,False,NA
pj2002,8,5,linear,False,NA
pj2002,8,6,linear,False,NA
pj2002,8,7,linear,False,NA
pj2002,9,0,linear,False,NA
pj2002,9,1,linear,False,NA
pj2002,9,2,linear,False,NA
pj2002,9,3,linear,False,NA
pj2002,9,4,linear,False,NA
pj2002,9,5,linear,False,NA
pj2002,9,6,linear,False,NA
pj2002,9,7,linear,False,NA
pj2002,9,8,linear,False,NA
pj2002,10,0,linear,True,57
pj2002,10,1,linear,False,NA
pj2002,10,2,linear,False,NA
pj2002,10,3,linear,False,NA
pj2002,10,4,linear,False,NA
pj2002,10,5,linear,False,NA
pj2002,10,6,linear,False,NA
pj2002,10,7,linear,False,NA
pj2002,10,8,linear,False,NA
pj2002,10,9,linear,False,NA
pj2003,5,0,linear,True,57
pj2003,5,1,linear,False,NA
pj2003,5,2,linear,False,NA
pj2003,5,3,linear,False,NA
pj2003,5,4,linear,False,NA
pj2003,6,0,linear,False,NA
pj2003,6,1,linear,False,NA
pj2003,6,2,linear,False,NA
pj2003,6,3,linear,False,NA
pj2003,6,4,linear,False,NA
pj2003,6,5,linear,False,NA
pj2003,7,0,linear,False,NA
pj2003,7,1,linear,False,NA
pj2003,7,2,linear,False,NA
pj2003,7,3,linear,False,NA
pj2003,7,4,linear,False,NA
pj2003,7,5,linear,False,NA
pj2003,7,6,linear,False,NA
pj2003,8,0,linear,False,NA
pj2003,8,1,linear,False,NA
pj2003,8,2,linear,False,NA
pj2003,8,3,linear,False,NA
pj2003,8,4,linear,False,NA
pj2003,8,5,linear,False,NA
pj2003,8,6,linear,False,NA
pj2003,8,7,linear,False,NA
pj2003,9,0,linear,False,NA
pj2003,9,1,linear,False,NA
pj2003,9,2,linear,False,NA
pj2003,9,3,linear,False,NA
pj2003,9,4,linear,False,NA
pj2003,9,5,linear,False,NA
pj2003,9,6,linear,False,NA
pj2003,9,7,linear,False,NA
pj2003,9,8,linear,False,NA
pj2003,10,0,linear,True,57
pj2003,10,1,linear,False,NA
pj2003,10,2,linear,False,NA
pj2003,10,3,linear,False,NA
