Benchmark,Min Time (s),Max Time (s),Avg Time (s),Count
6s325rb072.60.32,1,1263,632.0,2
6s326rb08.60.25,4025,4025,4025.0,1
6s372rb26.60.22,296,296,296.0,1
6s421rb083.60.8,2856,2856,2856.0,1
6s421rb083.60.16,3007,3007,3007.0,1
139453p0.60.14,1405,1405,1405.0,1
139443p0.60.49,1,271,136.0,2
139454p0.60.42,1475,1475,1475.0,1
139462p0.60.57,902,902,902.0,1
6s194.60.44,1,892,446.5,2
6s277rb292.60.45,1930,1930,1930.0,1
139444p0.60.32,1,493,247.0,2
139452p0.60.24,255,255,255.0,1
6s372rb26.60.35,318,318,318.0,1
139462p0.60.1,1389,1389,1389.0,1
139463p0.60.54,1569,1569,1569.0,1
139453p0.60.43,1419,1419,1419.0,1
139443p0.60.44,263,263,263.0,1
6s209b0.60.32,1,3096,1548.5,2
6s159.60.38,20,20,20.0,1
6s209b0.60.41,4321,4321,4321.0,1
6s4.60.28,63,63,63.0,1
6s391rb379.60.53,1157,1157,1157.0,1
6s372rb26.60.7,297,297,297.0,1
6s277rb292.60.51,2054,2054,2054.0,1
139452p0.60.18,1,270,135.5,2
6s362rb1.60.44,516,516,516.0,1
139462p0.60.22,1378,1378,1378.0,1
6s391rb379.60.25,1038,1038,1038.0,1
139463p0.60.6,1122,1122,1122.0,1
6s209b0.60.37,3094,3094,3094.0,1
6s159.60.40,1,20,10.5,2
6s275rb318.60.16,1893,1893,1893.0,1
6s325rb072.60.44,1180,1180,1180.0,1
139443p0.60.22,1,252,126.5,2
6s317b14.60.31,8798,8798,8798.0,1
6s194.60.15,1274,1274,1274.0,1
6s372rb26.60.1,319,319,319.0,1
139443p0.60.48,1,277,139.0,2
139453p0.60.0,1418,1418,1418.0,1
139464p0.60.7,4876,4876,4876.0,1
139454p0.60.36,981,981,981.0,1
139462p0.60.58,901,901,901.0,1
6s159.60.30,21,21,21.0,1
6s209b0.60.27,3681,3681,3681.0,1
6s275rb318.60.26,1971,1971,1971.0,1
6s325rb072.60.34,1413,1413,1413.0,1
139463p0.60.50,1074,1074,1074.0,1
6s362rb1.60.34,498,498,498.0,1
139452p0.60.0,256,256,256.0,1
139462p0.60.12,1417,1417,1417.0,1
139442p0.60.20,78,78,78.0,1
6s277rb292.60.5,2071,2071,2071.0,1
6s391rb379.60.7,1033,1033,1033.0,1
6s372rb26.60.53,301,301,301.0,1
139462p0.60.4,1058,1058,1058.0,1
139443p0.60.56,252,252,252.0,1
6s164.60.43,17,17,17.0,1
139453p0.60.18,1081,1081,1081.0,1
139464p0.60.17,1,6047,3024.0,2
139454p0.60.28,1387,1387,1387.0,1
139464p0.60.53,6270,6270,6270.0,1
6s372rb26.60.11,296,296,296.0,1
6s317b14.60.3,1,8876,4438.5,2
6s277rb292.60.59,1,2093,1047.0,2
6s194.60.34,1190,1190,1190.0,1
139462p0.60.47,1464,1464,1464.0,1
139443p0.60.59,279,279,279.0,1
139454p0.60.32,1372,1372,1372.0,1
6s421rb083.60.26,2865,2865,2865.0,1
6s372rb26.60.12,296,296,296.0,1
6s317b14.60.39,10187,10187,10187.0,1
139443p0.60.11,1,272,136.5,2
6s326rb08.60.17,4676,4676,4676.0,1
6s43.60.44,4282,4282,4282.0,1
139442p0.60.8,79,79,79.0,1
6s209b0.60.33,1,3101,1551.0,2
6s159.60.2,21,21,21.0,1
139453p0.60.35,1428,1428,1428.0,1
139463p0.60.46,1565,1565,1565.0,1
139443p0.60.34,266,266,266.0,1
139452p0.60.14,256,256,256.0,1
139462p0.60.11,1367,1367,1367.0,1
6s277rb292.60.55,2182,2182,2182.0,1
139442p0.60.21,78,78,78.0,1
139444p0.60.42,476,476,476.0,1
6s164.60.9,19,19,19.0,1
6s4.60.10,63,63,63.0,1
6s194.60.32,1146,1146,1146.0,1
6s159.60.57,20,20,20.0,1
6s164.60.37,19,19,19.0,1
139464p0.60.45,6683,6683,6683.0,1
139454p0.60.34,1367,1367,1367.0,1
6s421rb083.60.24,2650,2650,2650.0,1
6s164.60.5,1,19,10.0,2
6s43.60.42,5183,5183,5183.0,1
6s326rb08.60.15,6532,6532,6532.0,1
139442p0.60.6,79,79,79.0,1
6s209b0.60.35,3216,3216,3216.0,1
6s325rb072.60.28,1386,1386,1386.0,1
6s275rb318.60.18,1605,1605,1605.0,1
139452p0.60.4,261,261,261.0,1
139453p0.60.33,1427,1427,1427.0,1
139443p0.60.32,1,251,126.0,2
6s275rb318.60.48,1647,1647,1647.0,1
139452p0.60.16,270,270,270.0,1
6s362rb1.60.28,520,520,520.0,1
6s372rb26.60.45,297,297,297.0,1
6s391rb379.60.55,1334,1334,1334.0,1
139444p0.60.44,476,476,476.0,1
