instance_name,K,formula_size,proofdoor_size,largest_interpolant_size,ratio,y_mode,y_value
6s355rb11080,5,0,0,0,nan,max_dependence,1.0
6s355rb11080,6,0,0,0,nan,max_dependence,1.0
6s355rb11080,7,0,0,0,nan,max_dependence,1.0
6s355rb11080,8,0,0,0,nan,max_dependence,1.0
6s355rb11080,9,0,0,0,nan,max_dependence,1.0
6s362rb1,1,0,0,0,nan,max_dependence,1.0
6s362rb1,2,0,0,0,nan,max_dependence,1.0
6s362rb1,3,0,0,0,nan,max_dependence,1.0
6s362rb1,4,0,0,0,nan,max_dependence,1.0
6s362rb1,5,0,0,0,nan,max_dependence,1.0
6s362rb1,6,0,0,0,nan,max_dependence,1.0
6s362rb1,7,0,0,0,nan,max_dependence,1.0
6s362rb1,8,0,0,0,nan,max_dependence,1.0
6s362rb1,9,0,0,0,nan,max_dependence,1.0
6s372rb26,1,0,0,0,nan,max_dependence,1.0
6s372rb26,2,0,0,0,nan,max_dependence,1.0
6s372rb26,3,0,0,0,nan,max_dependence,1.0
6s372rb26,4,0,0,0,nan,max_dependence,1.0
6s372rb26,5,0,0,0,nan,max_dependence,1.0
6s372rb26,6,0,0,0,nan,max_dependence,1.0
6s372rb26,7,0,0,0,nan,max_dependence,49.0
6s385rb444,1,0,0,0,nan,max_dependence,1.0
6s389b02,1,0,0,0,nan,max_dependence,1.0
6s389b02,2,0,0,0,nan,max_dependence,1.0
6s389b02,3,0,0,0,nan,max_dependence,1.0
6s389b02,4,0,0,0,nan,max_dependence,1.0
6s391rb379,1,0,0,0,nan,max_dependence,1.0
6s400rb07819,1,0,0,0,nan,max_dependence,1.0
6s400rb07819,2,0,0,0,nan,max_dependence,1.0
6s400rb07819,3,0,0,0,nan,max_dependence,1.0
6s400rb07819,4,0,0,0,nan,max_dependence,1.0
6s400rb07819,5,0,0,0,nan,max_dependence,1.0
6s400rb07819,6,0,0,0,nan,max_dependence,1.0
6s400rb07819,7,0,0,0,nan,max_dependence,1.0
6s400rb07819,8,0,0,0,nan,max_dependence,1.0
6s400rb07819,9,0,0,0,nan,max_dependence,1.0
bj08amba2g1,1,0,0,0,nan,max_dependence,0.0
bj08amba2g1,2,0,0,0,nan,max_dependence,0.0
bj08amba2g1,3,0,0,0,nan,max_dependence,0.0
bj08amba3g1,1,0,0,0,nan,max_dependence,0.0
bj08amba3g1,2,0,0,0,nan,max_dependence,0.0
bj08amba5g62,1,0,0,0,nan,max_dependence,0.0
bj08amba5g62,2,0,0,0,nan,max_dependence,0.0
bj08amba5g62,3,0,0,0,nan,max_dependence,0.0
bj08amba5g62,4,0,0,0,nan,max_dependence,0.0
bj08aut82,1,0,0,0,nan,max_dependence,0.0
bj08aut82,2,0,0,0,nan,max_dependence,0.0
bj08aut82,3,0,0,0,nan,max_dependence,0.0
bj08aut82,4,0,0,0,nan,max_dependence,0.0
bj08aut82,5,0,0,0,nan,max_dependence,0.0
bj08aut82,6,0,0,0,nan,max_dependence,0.0
bj08aut82,7,0,0,0,nan,max_dependence,0.0
bj08aut82,8,0,0,0,nan,max_dependence,0.0
