name,log_r2,linear_r2,exp_r2,poly_r2,best_fit
139442p0,nan,nan,nan,nan,n/a
139443p0,nan,nan,nan,nan,n/a
139462p0,nan,nan,nan,nan,n/a
139463p0,nan,nan,nan,nan,n/a
139464p0,nan,nan,nan,nan,n/a
6s120,0.7486567316286317,0.8418784347594468,0.5726431227803377,0.8879156311342963,poly
6s164,0.36219509596776445,0.43621366926831473,0.02371066615308426,0.6625073806287276,poly
6s209b0,0.562501805307229,0.6499701340993267,-0.7091917092330449,0.6815176510431074,poly
6s221rb14,0.7394044364134176,0.6365290256633824,-6.579521600924316,0.8895427240671596,poly
6s273b37,0.9639765948351399,0.9748844763708154,0.9604782120159778,0.9975850458048862,poly
6s290,0.963810064024111,0.9751200910283542,0.9602989483980081,0.9976077010604187,poly
6s306rb03,0.7002747655976239,0.484848484848485,nan,0.8484848484848486,poly
6s307rb09,0.5551385031835552,0.6434643056019707,-0.7016567870152728,0.6742402415474831,poly
6s344rb150,0.712592017109943,0.7309663945319917,-1.7535842168589615,0.9000815651660536,poly
6s351rb15,0.48687701851955956,0.6712763840481056,0.6780292179696769,0.9752437408209932,poly
6s355rb08740,0.9639867658560531,0.9748700009562491,0.9604891629977144,0.9975836539381009,poly
6s355rb11080,0.9639722634227533,0.9748906378534086,0.9604735485352073,0.9975856382551355,poly
6s362rb1,0.9629751632266693,0.9762335462795134,0.9594284814657525,0.9976384243791792,poly
6s372rb26,0.14417396616177858,0.2727272727272728,nan,0.9300699300699301,poly
6s380b129,0.30290326386974653,0.36623992517875226,0.21062244872396563,0.5321786504387545,poly
6s380b511,0.9382044422424705,0.9576068786019882,-7.293372819672085,0.9787536137358948,poly
