name,log_r2,linear_r2,exp_r2,poly_r2,best_fit
kenflashp08,nan,nan,nan,nan,n/a
139453p0,nan,nan,nan,nan,n/a
qspiflash_dualflexpress_divthree-p046,nan,nan,nan,nan,n/a
bobsmdct,0.9829404214335793,0.9230769230769231,nan,1.0,poly
zipversa_composecrc_prf-p11,nan,nan,nan,nan,n/a
pdtswvsam6x8p1,nan,nan,nan,nan,n/a
6s120,nan,nan,nan,nan,n/a
ndista128,nan,nan,nan,nan,n/a
bj08aut82,nan,nan,nan,nan,n/a
shift1add262144,nan,nan,nan,nan,n/a
pdtvisvsa16a10,nan,nan,nan,nan,n/a
zipversa_composecrc_prf-p22,nan,nan,nan,nan,n/a
6s326rb08,nan,nan,nan,nan,n/a
productioncellp0,nan,nan,nan,nan,n/a
