instance,K,tag,growth_class,max_spd,min_spd,last_spd,peak_ratio,n_computed,completeness
shift_register_top_w16_d32_e0,5,exponential,constant,729,543,729,1.3425414364640884,3,partial
oski15a01b03s,5,exponential,sub-exponential,80035,14547,80035,5.501821681446346,2,partial
eijks1423,5,exponential,exponential,7124217,241,7124217,29561.066390041495,2,partial
6s320rb1,5,exponential,exponential,77584,286,77584,271.27272727272725,2,partial
shift_register_top_w16_d64_e0,5,exponential,constant,1270,1057,1270,1.2015137180700095,3,partial
arbitrated_top_n5_w128_d8_e0,5,exponential,constant,8379,5336,6282,1.5702773613193404,5,complete
cal106,5,exponential,exponential,57677,2,57677,28838.5,2,partial
6s320rb0,5,exponential,exponential,77990,288,77990,270.7986111111111,2,partial
cal125,5,exponential,exponential,55259,2,55259,27629.5,2,partial
beemprdcell2f1,5,exponential,non-monotone,142646,1341,1341,106.37285607755406,2,partial
6s410rb043,5,exponential,constant,16130,10262,16130,1.5718183589943482,2,partial
oski15a01b02s,5,exponential,sub-exponential,70251,14547,70251,4.829243142916066,2,partial
cal117,5,exponential,exponential,54448,2,54448,27224.0,2,partial
nusmvreactorp1,5,linear,constant,66,65,65,1.0153846153846153,2,partial
oski15a01b30s,5,exponential,sub-exponential,81766,14547,81766,5.62081528837561,2,partial
oski3b0i,6,exponential,exponential,330,7,330,47.142857142857146,6,complete
6s119,6,exponential,constant,18945,18771,18945,1.009269618027809,6,complete
bc57sensorsp1neg,6,exponential,exponential,11619,94,1456,123.6063829787234,6,complete
6s54,6,exponential,constant,1659,1614,1614,1.0278810408921932,6,complete
cmudme2,6,exponential,exponential,9312,54,9312,172.44444444444446,6,complete
bc57sensorsp1,6,exponential,exponential,56623,94,56623,602.3723404255319,6,complete
6s41,6,exponential,constant,921,913,913,1.0087623220153341,6,complete
6s309b046,6,exponential,constant,9643,9568,9643,1.0078386287625418,6,complete
cmudme2,7,exponential,exponential,172063,54,172063,3186.3518518518517,7,complete
6s54,7,exponential,constant,1678,1632,1632,1.0281862745098038,7,complete
bc57sensorsp1,7,exponential,sub-exponential,56623,94,544,602.3723404255319,7,complete
bc57sensorsp1neg,7,exponential,exponential,11619,94,1456,123.6063829787234,6,partial
oski3b0i,7,exponential,exponential,330,7,330,47.142857142857146,7,complete
6s119,7,exponential,constant,19389,18780,19389,1.0324281150159744,7,complete
6s309b046,7,exponential,constant,9987,9577,9987,1.0428109011172602,7,complete
6s41,7,exponential,constant,938,921,938,1.018458197611292,7,complete
6s309b046,8,exponential,constant,10224,9585,10224,1.0666666666666667,8,complete
6s41,8,exponential,constant,1065,921,1065,1.1563517915309447,8,complete
cmudme2,8,exponential,sub-exponential,172063,54,290,3186.3518518518517,8,complete
oski3b0i,8,exponential,exponential,330,7,330,47.142857142857146,8,complete
6s119,8,exponential,constant,19795,18789,19795,1.053541966043962,8,complete
bc57sensorsp1neg,8,exponential,exponential,11619,94,1456,123.6063829787234,6,partial
6s54,8,exponential,constant,1738,1636,1738,1.0623471882640587,8,complete
bc57sensorsp1,8,exponential,sub-exponential,56623,94,544,602.3723404255319,7,partial
6s309b046,9,exponential,constant,10591,9593,10591,1.1040341915980403,9,complete
oski3b0i,9,exponential,exponential,330,7,330,47.142857142857146,9,complete
6s41,9,exponential,constant,1185,921,1185,1.286644951140065,9,complete
cmudme2,9,exponential,sub-exponential,172063,54,290,3186.3518518518517,8,partial
6s119,9,exponential,constant,20954,18797,20954,1.1147523540990583,9,complete
6s54,9,exponential,constant,2112,1636,2112,1.2909535452322738,9,complete
bc57sensorsp1neg,9,exponential,exponential,11619,94,1456,123.6063829787234,6,partial
bc57sensorsp1,9,exponential,sub-exponential,56623,94,544,602.3723404255319,7,partial
