instance,K,tag,growth_class,max_spd,min_spd,last_spd,peak_ratio,n_computed,completeness
oc8051gmfbaddr,10,linear,constant,925,867,925,1.0668973471741638,10,complete
oski15a01b79s,10,linear,sub-exponential,80142,14548,80142,5.508798460269452,2,partial
bobcount,10,linear,sub-exponential,39293,12,149,3274.4166666666665,10,complete
vcegar_QF_BV_ar,10,linear,constant,5002,5002,5002,1.0,10,complete
oski15a01b73s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
zipversa_composecrc_prf-p00,10,linear,sub-exponential,21144,5882,5882,3.5946956817409044,3,partial
oski2b4i,10,linear,exponential,99018,7,99018,14145.42857142857,2,partial
pdtvsar8multip23,10,linear,exponential,1472,117,1472,12.581196581196581,5,partial
pj2010,10,linear,exponential,14513,19,14513,763.8421052631579,2,partial
oski15a01b63s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
oski15a14b31s,10,linear,exponential,32485,2745,32485,11.83424408014572,2,partial
nusmvtcastp3,10,linear,sub-exponential,834,202,834,4.128712871287129,2,partial
neclatcas1a001,10,linear,constant,440,390,390,1.1282051282051282,10,complete
139444p0,10,linear,exponential,8440,87,1101,97.01149425287356,4,partial
6s405rb611,10,linear,constant,18089,11665,18089,1.5507072438919847,2,partial
ndista262144,10,linear,constant,25,24,24,1.0416666666666667,10,complete
oski2b2i,10,linear,exponential,110587,7,110587,15798.142857142857,2,partial
6s159,10,linear,sub-exponential,509,239,509,2.1297071129707112,8,partial
6s290,10,linear,constant,13798,13688,13798,1.0080362361192285,10,complete
oski15a01b31s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
bobtuint12neg,10,linear,exponential,5014,208,946,24.10576923076923,4,partial
6s306rb03,10,linear,constant,10194,7702,10194,1.3235523240716698,5,partial
neclaftp5001,10,linear,constant,6,6,6,1.0,10,complete
6s351rb15,10,linear,constant,3863,3715,3715,1.0398384925975774,10,complete
zipversa_composecrc_prf-p17,10,linear,sub-exponential,21143,6001,6001,3.5232461256457257,3,partial
6s380b511,10,linear,constant,6229,5583,6229,1.1157084005015225,2,partial
cmuperiodic,10,linear,constant,34,31,31,1.096774193548387,10,complete
texasifetch1p1,10,linear,exponential,45486,55,1643,827.0181818181818,5,partial
oski15a14b32s,10,linear,exponential,30390,2745,30390,11.07103825136612,2,partial
pdtvisvending09,10,linear,exponential,41707,42,430,993.0238095238095,4,partial
oski15a10b01s,10,linear,sub-exponential,8710,2098,8710,4.151572926596759,2,partial
oski15a01b29s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
zipversa_composecrc_prf-p22,10,linear,sub-exponential,21143,5882,5882,3.5945256715402922,3,partial
pdtvistwoall3,10,linear,constant,26,26,26,1.0,10,complete
bj08amba2g1,10,linear,exponential,11214,21,428,534.0,5,partial
texaspimainp01,10,linear,constant,261,228,261,1.144736842105263,10,complete
6s380b129,10,linear,constant,6238,5583,6238,1.1173204370410175,2,partial
oski15a14b25s,10,linear,exponential,30964,2745,30964,11.280145719489981,2,partial
oski15a01b75s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
bjrb07amba1andenv,10,linear,constant,19,17,17,1.1176470588235294,10,complete
oski15a01b11s,10,linear,sub-exponential,58051,14547,58051,3.99058225063587,2,partial
6s41,10,exponential,constant,1283,921,1283,1.3930510314875135,10,complete
pj2007,10,linear,exponential,12541,20,12541,627.05,2,partial
kenflashp04,10,linear,constant,41,40,41,1.025,10,complete
kenflashp08,10,linear,constant,39,38,39,1.0263157894736843,10,complete
nusmvreactorp3,10,linear,constant,66,65,65,1.0153846153846153,10,complete
qspiflash_dualflexpress_divthree-p143,10,linear,exponential,2847,231,2847,12.324675324675324,4,partial
pdtpmsusbphy,10,linear,sub-exponential,796,175,402,4.548571428571429,4,partial
oski15a01b61s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
oski15a01b27s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
viselevatorp3,10,linear,exponential,598,37,598,16.16216216216216,3,partial
6s391rb379,10,linear,constant,3118,2533,3118,1.2309514409790763,3,partial
oski3b3i,10,linear,exponential,330,7,330,47.142857142857146,10,complete
visprodcellp01,10,linear,exponential,9011,47,258,191.72340425531914,4,partial
bobtuintand,10,linear,exponential,5014,208,936,24.10576923076923,4,partial
neclaftp2002,10,linear,constant,5031,5031,5031,1.0,10,complete
pj2016,10,linear,exponential,64465,50,64465,1289.3,2,partial
bob12s02,10,linear,exponential,49741,229,49741,217.20960698689956,2,partial
6s204b19,10,linear,constant,34062,28434,34062,1.1979320531757756,4,partial
oski15a14b14s,10,linear,exponential,30149,2746,30149,10.979242534595775,2,partial
6s216rb0,10,linear,constant,1108,896,1108,1.2366071428571428,5,partial
pj2003,10,linear,exponential,64106,57,64106,1124.6666666666667,2,partial
6s119,10,exponential,constant,20963,18803,20963,1.1148752858586395,9,partial
cmudme2,10,exponential,sub-exponential,172063,54,290,3186.3518518518517,8,partial
nusmvguidancep1,10,linear,exponential,2053,46,2053,44.630434782608695,2,partial
oski2b5i,10,linear,exponential,112484,7,112484,16069.142857142857,2,partial
qspiflash_dualflexpress_divfive-p022,10,linear,exponential,2823,233,2823,12.11587982832618,4,partial
6s355rb08740,10,linear,constant,15042,15039,15039,1.000199481348494,10,complete
pdtvsarmultip29,10,linear,exponential,616,54,440,11.407407407407407,6,partial
pdtvisvsar22,10,linear,exponential,3785711,55,3785711,68831.10909090909,5,partial
shift1add262144,10,linear,constant,29,27,28,1.0740740740740742,10,complete
qspiflash_dualflexpress_divfive-p054,10,linear,exponential,2820,233,2820,12.103004291845494,4,partial
139442p0,10,linear,exponential,44647,62,1148,720.1129032258065,5,partial
bobmiterbm1and,10,linear,exponential,20850,377,775,55.30503978779841,3,partial
bc57sensorsp1neg,10,exponential,exponential,11619,94,1456,123.6063829787234,6,partial
viselevatorp1,10,linear,exponential,587,37,587,15.864864864864865,3,partial
139443p0,10,linear,sub-exponential,730,75,730,9.733333333333333,4,partial
pdtvisvsa16a16,10,linear,exponential,13473,156,3109,86.36538461538461,5,partial
qspiflash_dualflexpress_divfive-p143,10,linear,exponential,2807,232,2807,12.099137931034482,4,partial
bobtuint19neg,10,linear,exponential,5014,208,951,24.10576923076923,4,partial
oski15a01b17s,10,linear,sub-exponential,63790,14547,63790,4.3850965834880045,2,partial
zipversa_composecrc_prf-p07,10,linear,sub-exponential,21143,5784,5784,3.6554287690179805,3,partial
prodcellp2neg,10,linear,exponential,3032,67,645,45.25373134328358,6,partial
6s307rb09,10,linear,sub-exponential,51122,6582,11228,7.766940139775144,6,partial
6s326rb08,10,linear,constant,3391,3281,3336,1.033526363913441,10,complete
pdtpmsrotate32,10,linear,exponential,18518,65,294,284.89230769230767,3,partial
pdtvsarmultip08,10,linear,exponential,967,54,511,17.90740740740741,6,partial
139452p0,10,linear,exponential,41565,81,1213,513.1481481481482,5,partial
neclaftp4001,10,linear,constant,1094,1094,1094,1.0,10,complete
oski15a01b33s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
6s120,10,linear,exponential,3363,51,3363,65.94117647058823,3,partial
bob9234spec4neg,10,linear,sub-exponential,317,102,317,3.107843137254902,5,partial
qspiflash_qflexpress_divfive-p017,10,linear,exponential,2987,200,2987,14.935,4,partial
6s344rb054,10,linear,constant,11594,10521,11594,1.101986503184108,3,partial
139454p0,10,linear,exponential,3116,112,3116,27.821428571428573,4,partial
intel057,10,linear,sub-exponential,717,195,717,3.6769230769230767,2,partial
oski15a01b23s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
qspiflash_qflexpress_divfive-p038,10,linear,exponential,3001,200,3001,15.005,4,partial
6s344rb150,10,linear,constant,11594,10521,11594,1.101986503184108,3,partial
oski15a01b65s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
139463p0,10,linear,exponential,3166,115,3166,27.530434782608694,4,partial
cal35,10,linear,exponential,2562,2,2562,1281.0,2,partial
oski1rub03i,10,linear,exponential,102021,7,102021,14574.42857142857,2,partial
oski15a01b39s,10,linear,sub-exponential,78623,14548,78623,5.4043854825405555,2,partial
bobsynthand,10,linear,constant,3316,3002,3316,1.1045969353764158,2,partial
zipcpu-busdelay-p43,10,linear,sub-exponential,1592,630,1592,2.526984126984127,2,partial
