instance,K,tag,completeness,n_computed,max_spd,min_spd,last_spd,peak_ratio,growth_class
6s159,5,linear,partial,1,239,239,239,1.0,insufficient
power2bit128,5,linear,partial,1,19,19,19,1.0,insufficient
6s372rb26,5,linear,partial,1,1039,1039,1039,1.0,insufficient
viselevatorp1,5,linear,partial,1,37,37,37,1.0,insufficient
oski15a01b15s,5,linear,partial,1,14547,14547,14547,1.0,insufficient
beemextnc3f1,5,exponential,partial,1,2538,2538,2538,1.0,insufficient
6s339rb19,5,exponential,partial,4,4492,1528,4492,2.93979057591623,sub-exponential
pdtvistimeout0,5,exponential,partial,1,208,208,208,1.0,insufficient
arbitrated_top_n2_w8_d64_e0,5,exponential,complete,5,2538,1099,1911,2.3093721565059147,sub-exponential
beemlann2f1,5,exponential,partial,1,658,658,658,1.0,insufficient
mentorbm1or,5,linear,partial,1,4868,4868,4868,1.0,insufficient
pdtvsar8multip13,5,linear,partial,1,119,119,119,1.0,insufficient
circular_pointer_top_w64_d8_e0,5,exponential,partial,3,1211,663,1211,1.8265460030165912,constant
6s204b19,5,linear,partial,1,28434,28434,28434,1.0,insufficient
139463p0,5,linear,partial,1,115,115,115,1.0,insufficient
ringp0,5,linear,partial,1,16,16,16,1.0,insufficient
cal140,5,exponential,partial,2,52603,2,52603,26301.5,exponential
qspiflash_dualflexpress_divfive-p074,5,exponential,partial,4,2797,232,2797,12.056034482758621,exponential
abp4p2ff,5,exponential,partial,4,3496,27,724,129.4814814814815,exponential
neclaftp4001,5,linear,partial,1,1094,1094,1094,1.0,insufficient
brpp1,5,linear,partial,1,63,63,63,1.0,insufficient
cal129,5,exponential,partial,1,6279,6279,6279,1.0,insufficient
gen43,5,exponential,partial,2,2925,1547,2925,1.8907563025210083,constant
intel001,5,linear,partial,1,19,19,19,1.0,insufficient
nusmvsyncarb5p2,5,linear,partial,1,9,9,9,1.0,insufficient
intel040,5,exponential,partial,1,172246,172246,172246,1.0,insufficient
oski15a01b70s,5,exponential,partial,2,79077,14547,79077,5.4359661785935245,sub-exponential
oski2b5i,5,linear,partial,1,7,7,7,1.0,insufficient
kenflashp01,5,linear,partial,1,38,38,38,1.0,insufficient
cal81,5,linear,partial,1,206385,206385,206385,1.0,insufficient
6s391rb379,5,linear,partial,1,2662,2662,2662,1.0,insufficient
139462p0,5,linear,partial,1,97,97,97,1.0,insufficient
oski15a01b25s,5,linear,partial,1,14547,14547,14547,1.0,insufficient
oski15a14b23s,5,linear,partial,1,2745,2745,2745,1.0,insufficient
6s309b046,5,exponential,complete,5,9593,9559,9559,1.0035568574118632,constant
shift_register_top_w16_d32_e0,5,exponential,partial,3,729,543,729,1.3425414364640884,constant
oski15a01b03s,5,exponential,partial,2,80035,14547,80035,5.501821681446346,sub-exponential
oski15a01b04s,5,linear,partial,1,14547,14547,14547,1.0,insufficient
shift1add512,5,linear,partial,1,18,18,18,1.0,insufficient
oski15a01b51s,5,linear,partial,1,14547,14547,14547,1.0,insufficient
visemodel,5,linear,partial,1,9,9,9,1.0,insufficient
eijks1423,5,exponential,partial,2,7124217,241,7124217,29561.066390041495,exponential
picorv32_mutAY_nomem-p6,5,exponential,partial,1,25937,25937,25937,1.0,insufficient
qspiflash_dualflexpress_divthree-p143,5,linear,partial,1,231,231,231,1.0,insufficient
picorv32-check-p05,5,linear,partial,1,5059,5059,5059,1.0,insufficient
6s320rb1,5,exponential,partial,2,77584,286,77584,271.27272727272725,exponential
shift_register_top_w16_d64_e0,5,exponential,partial,3,1270,1057,1270,1.2015137180700095,constant
arbitrated_top_n5_w128_d8_e0,5,exponential,complete,5,8379,5336,6282,1.5702773613193404,constant
6s380b129,5,linear,partial,1,5583,5583,5583,1.0,insufficient
pdtvisblackjack1,5,linear,partial,1,103,103,103,1.0,insufficient
beemcmbrdg1f1,5,exponential,partial,1,1492,1492,1492,1.0,insufficient
pdtvisns2p3,5,linear,partial,1,145,145,145,1.0,insufficient
cal106,5,exponential,partial,2,57677,2,57677,28838.5,exponential
viselevatorp2,5,linear,partial,1,37,37,37,1.0,insufficient
6s320rb0,5,exponential,partial,2,77990,288,77990,270.7986111111111,exponential
prodcellp2neg,5,linear,partial,1,67,67,67,1.0,insufficient
bobsynthetic2,5,linear,partial,1,404,404,404,1.0,insufficient
vgasim_imgfifo-p093,5,linear,partial,1,848,848,848,1.0,insufficient
picorv32_mutCY_nomem-p0,5,exponential,partial,1,31454,31454,31454,1.0,insufficient
qspiflash_dualflexpress_divfive-p022,5,linear,partial,1,233,233,233,1.0,insufficient
oski15a01b22s,5,linear,partial,1,14547,14547,14547,1.0,insufficient
oc8051gmfbaddr,5,linear,partial,1,867,867,867,1.0,insufficient
cal125,5,exponential,partial,2,55259,2,55259,27629.5,exponential
6s184,5,exponential,partial,1,17044,17044,17044,1.0,insufficient
picorv32_mutBY_nomem-p1,5,exponential,partial,1,33054,33054,33054,1.0,insufficient
139452p0,5,linear,partial,1,82,82,82,1.0,insufficient
oc8051gm2daddr,5,linear,partial,1,867,867,867,1.0,insufficient
texasifetch1p8,5,linear,partial,1,55,55,55,1.0,insufficient
beemprdcell2f1,5,exponential,partial,2,142646,1341,1341,106.37285607755406,non-monotone
viscoherencep2,5,linear,partial,1,51,51,51,1.0,insufficient
pdtvisblackjack2,5,linear,partial,1,103,103,103,1.0,insufficient
oski15a14b03s,5,linear,partial,1,2745,2745,2745,1.0,insufficient
pdtvisminmaxr1,5,linear,partial,1,920190,920190,920190,1.0,insufficient
kenflashp13,5,linear,partial,1,30,30,30,1.0,insufficient
6s410rb043,5,exponential,partial,2,16130,10262,16130,1.5718183589943482,constant
oski15a01b02s,5,exponential,partial,2,70251,14547,70251,4.829243142916066,sub-exponential
6s355rb11080,5,linear,partial,1,15042,15042,15042,1.0,insufficient
stack-p1,5,linear,partial,1,8746,8746,8746,1.0,insufficient
qspiflash_qflexpress_divfive-p017,5,linear,partial,1,200,200,200,1.0,insufficient
picorv32_mutAX_nomem-p5,5,exponential,partial,1,72763,72763,72763,1.0,insufficient
bobtuint24,5,linear,partial,1,1,1,1,1.0,insufficient
oski15a10b03s,5,linear,partial,1,2098,2098,2098,1.0,insufficient
oski15a10b13s,5,linear,partial,1,2098,2098,2098,1.0,insufficient
eijks298,5,linear,partial,1,51,51,51,1.0,insufficient
6s221rb14,5,linear,partial,1,42074,42074,42074,1.0,insufficient
marlann_compute_cp_fail2-p0,5,linear,partial,1,2039,2039,2039,1.0,insufficient
cal117,5,exponential,partial,2,54448,2,54448,27224.0,exponential
picorv32_mutCY_nomem-p3,5,exponential,partial,1,29965,29965,29965,1.0,insufficient
cal159,5,linear,partial,1,80457,80457,80457,1.0,insufficient
nusmvtcastp3,5,linear,partial,1,202,202,202,1.0,insufficient
intel038,5,linear,partial,1,157290,157290,157290,1.0,insufficient
beemlmprt8f1,5,exponential,partial,1,1383,1383,1383,1.0,insufficient
6s362rb1,5,linear,partial,1,1872,1872,1872,1.0,insufficient
oski15a14b07s,5,linear,partial,1,2745,2745,2745,1.0,insufficient
beemelev2f1,5,linear,partial,1,390942,390942,390942,1.0,insufficient
eijkbs4863,5,exponential,partial,1,2763,2763,2763,1.0,insufficient
vgasim_imgfifo-p082,5,linear,partial,1,848,848,848,1.0,insufficient
nusmvreactorp1,5,linear,partial,2,66,65,65,1.0153846153846153,constant
bob9234specand,5,linear,partial,1,102,102,102,1.0,insufficient
pj2003,5,linear,partial,1,57,57,57,1.0,insufficient
qspiflash_dualflexpress_divthree-p164,5,linear,partial,1,232,232,232,1.0,insufficient
vis_arrays_am2901,5,exponential,partial,1,709,709,709,1.0,insufficient
zipcpu-zipmmu-p33,5,exponential,partial,1,2285,2285,2285,1.0,insufficient
cmuperiodic,5,linear,partial,1,34,34,34,1.0,insufficient
picorv32_mutBX_nomem-p5,5,exponential,partial,1,71937,71937,71937,1.0,insufficient
pdtpmsam2901,5,exponential,partial,1,1556,1556,1556,1.0,insufficient
6s290,5,linear,partial,1,13688,13688,13688,1.0,insufficient
6s351rb15,5,linear,partial,1,3763,3763,3763,1.0,insufficient
6s384rb024,5,linear,partial,1,13546,13546,13546,1.0,insufficient
shift1add2048,5,linear,partial,1,20,20,20,1.0,insufficient
prodcellp1,5,linear,partial,1,67,67,67,1.0,insufficient
picorv32_mutBY_nomem-p7,5,exponential,partial,1,29692,29692,29692,1.0,insufficient
beemfwt2b2,5,exponential,partial,1,14393,14393,14393,1.0,insufficient
marlann_compute_cp_fail1-p2,5,linear,partial,1,1938,1938,1938,1.0,insufficient
zipcpu-pfcache-p22,5,linear,partial,1,10901,10901,10901,1.0,insufficient
bobcount,5,linear,partial,1,12,12,12,1.0,insufficient
6s109,5,exponential,partial,1,899,899,899,1.0,insufficient
oski15a01b30s,5,exponential,partial,2,81766,14547,81766,5.62081528837561,sub-exponential
6s207rb28,5,linear,partial,1,3007,3007,3007,1.0,insufficient
mentorbm1p09,5,exponential,partial,1,4848,4848,4848,1.0,insufficient
oski3b0i,6,exponential,complete,6,330,7,330,47.142857142857146,exponential
6s119,6,exponential,complete,6,18945,18771,18945,1.009269618027809,constant
bc57sensorsp1neg,6,exponential,complete,6,11619,94,1456,123.6063829787234,exponential
6s54,6,exponential,complete,6,1659,1614,1614,1.0278810408921932,constant
cmudme2,6,exponential,complete,6,9312,54,9312,172.44444444444446,exponential
bc57sensorsp1,6,exponential,complete,6,56623,94,56623,602.3723404255319,exponential
6s41,6,exponential,complete,6,921,913,913,1.0087623220153341,constant
6s309b046,6,exponential,complete,6,9643,9568,9643,1.0078386287625418,constant
cmudme2,7,exponential,complete,7,172063,54,172063,3186.3518518518517,exponential
6s54,7,exponential,complete,7,1678,1632,1632,1.0281862745098038,constant
bc57sensorsp1,7,exponential,complete,7,56623,94,544,602.3723404255319,sub-exponential
bc57sensorsp1neg,7,exponential,partial,6,11619,94,1456,123.6063829787234,exponential
oski3b0i,7,exponential,complete,7,330,7,330,47.142857142857146,exponential
6s119,7,exponential,complete,7,19389,18780,19389,1.0324281150159744,constant
6s309b046,7,exponential,complete,7,9987,9577,9987,1.0428109011172602,constant
6s41,7,exponential,complete,7,938,921,938,1.018458197611292,constant
6s309b046,8,exponential,complete,8,10224,9585,10224,1.0666666666666667,constant
6s41,8,exponential,complete,8,1065,921,1065,1.1563517915309447,constant
cmudme2,8,exponential,complete,8,172063,54,290,3186.3518518518517,sub-exponential
oski3b0i,8,exponential,complete,8,330,7,330,47.142857142857146,exponential
6s119,8,exponential,complete,8,19795,18789,19795,1.053541966043962,constant
bc57sensorsp1neg,8,exponential,partial,6,11619,94,1456,123.6063829787234,exponential
6s54,8,exponential,complete,8,1738,1636,1738,1.0623471882640587,constant
bc57sensorsp1,8,exponential,partial,7,56623,94,544,602.3723404255319,sub-exponential
6s309b046,9,exponential,complete,9,10591,9593,10591,1.1040341915980403,constant
oski3b0i,9,exponential,complete,9,330,7,330,47.142857142857146,exponential
6s41,9,exponential,complete,9,1185,921,1185,1.286644951140065,constant
cmudme2,9,exponential,partial,8,172063,54,290,3186.3518518518517,sub-exponential
6s119,9,exponential,complete,9,20954,18797,20954,1.1147523540990583,constant
6s54,9,exponential,complete,9,2112,1636,2112,1.2909535452322738,constant
bc57sensorsp1neg,9,exponential,partial,6,11619,94,1456,123.6063829787234,exponential
bc57sensorsp1,9,exponential,partial,7,56623,94,544,602.3723404255319,sub-exponential
