instance,K,tag,completeness,n_computed,max_spd,min_spd,last_spd,peak_ratio,growth_class
pdtvisminmaxr1,10,linear,partial,2,920190,866798,866798,1.0615968195588823,constant
beemptrsn1b1,10,linear,partial,2,1510,7,1510,215.71428571428572,exponential
zipversa_composecrc_prf-p11,10,linear,partial,3,21143,8876,11527,2.3820414601171698,sub-exponential
mul7,10,linear,partial,1,1027,1027,1027,1.0,insufficient
139442p1,10,linear,partial,1,333,333,333,1.0,insufficient
oski15a14b18s,10,linear,partial,2,31373,2746,31373,11.424981791697014,exponential
6s273b37,10,linear,partial,5,47995,15081,21094,3.182481267820436,sub-exponential
intel037,10,linear,partial,1,95987,95987,95987,1.0,insufficient
marlann_compute_cp_fail2-p0,10,linear,partial,1,2039,2039,2039,1.0,insufficient
vgasim_imgfifo-p047,10,linear,partial,1,848,848,848,1.0,insufficient
stack-p2,10,linear,partial,1,8746,8746,8746,1.0,insufficient
bobsynthor,10,linear,partial,1,3011,3011,3011,1.0,insufficient
oski2b1i,10,linear,partial,2,114274,7,114274,16324.857142857143,exponential
pj2002,10,linear,partial,2,63670,57,63670,1117.017543859649,exponential
oski15a01b67s,10,linear,partial,2,77588,14547,77588,5.333608304117687,sub-exponential
139453p0,10,linear,partial,4,796,97,796,8.206185567010309,sub-exponential
oski15a01b09s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
zipcpu-zipmmu-p39,10,linear,partial,1,1947,1947,1947,1.0,insufficient
oski15a01b51s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
6s207rb28,10,linear,partial,1,3007,3007,3007,1.0,insufficient
oski15a01b24s,10,linear,partial,2,81766,14547,81766,5.62081528837561,sub-exponential
bobuns2p10d100l,10,linear,partial,1,14549,14549,14549,1.0,insufficient
oski15a01b35s,10,linear,partial,2,82346,14547,82346,5.660686052106963,sub-exponential
rast-p18,10,linear,partial,1,5649,5649,5649,1.0,insufficient
oski15a01b69s,10,linear,partial,2,77588,14547,77588,5.333608304117687,sub-exponential
beemcycschd3b1,10,linear,partial,2,1842,3,1842,614.0,exponential
6s4,10,linear,partial,1,4534,4534,4534,1.0,insufficient
picorv32-check-p19,10,linear,partial,1,5377,5377,5377,1.0,insufficient
6s164,10,linear,partial,3,2462,328,936,7.5060975609756095,sub-exponential
oski15a14b09s,10,linear,partial,2,27186,2745,27186,9.903825136612022,sub-exponential
oski15a10b05s,10,linear,partial,1,2098,2098,2098,1.0,insufficient
oski15a01b45s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
oski15a01b19s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
oski15a01b43s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
6s374b029,10,linear,partial,1,38725,38725,38725,1.0,insufficient
oski15a01b04s,10,linear,partial,2,70251,14547,70251,4.829243142916066,sub-exponential
oski15a01b01s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
oski15a10b17s,10,linear,partial,2,8710,2098,8710,4.151572926596759,sub-exponential
oski15a01b15s,10,linear,partial,2,82557,14547,82557,5.675190760981645,sub-exponential
marlann_compute_cp_pass-p2,10,linear,partial,1,2052,2052,2052,1.0,insufficient
beempgsol5b1,10,linear,partial,1,24401,24401,24401,1.0,insufficient
oski15a01b21s,10,linear,partial,2,82346,14547,82346,5.660686052106963,sub-exponential
dme6p1neg,10,linear,partial,1,116,116,116,1.0,insufficient
oski15a14b29s,10,linear,partial,1,2745,2745,2745,1.0,insufficient
mul9,10,linear,partial,1,2444,2444,2444,1.0,insufficient
beemfwt3f3,10,linear,partial,1,12220,12220,12220,1.0,insufficient
rast-p04,10,linear,partial,1,5922,5922,5922,1.0,insufficient
oski15a14b07s,10,linear,partial,2,27223,2745,27223,9.917304189435336,sub-exponential
rast-p19,10,linear,partial,1,5649,5649,5649,1.0,insufficient
oski15a01b49s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
vgasim_imgfifo-p082,10,linear,partial,1,848,848,848,1.0,insufficient
srg5ptimo,10,linear,partial,1,29,29,29,1.0,insufficient
picorv32-check-p05,10,linear,partial,1,5059,5059,5059,1.0,insufficient
cal159,10,linear,partial,1,80457,80457,80457,1.0,insufficient
cal81,10,linear,partial,1,206385,206385,206385,1.0,insufficient
picorv32-check-p22,10,linear,partial,1,5694,5694,5694,1.0,insufficient
6s221rb14,10,linear,partial,1,42074,42074,42074,1.0,insufficient
oski15a01b59s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
vgasim_imgfifo-p064,10,linear,partial,1,848,848,848,1.0,insufficient
pcip1,10,linear,partial,1,76,76,76,1.0,insufficient
zipcpu-pfcache-p28,10,linear,partial,1,10940,10940,10940,1.0,insufficient
oski15a01b41s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
beemlup1b1,5,linear,partial,2,5358,4,5358,1339.5,exponential
139442p0,5,linear,complete,5,43295,63,1489,687.2222222222222,exponential
oski15a01b17s,5,linear,partial,1,14547,14547,14547,1.0,insufficient
cal33,5,exponential,partial,2,3732,2,3732,1866.0,exponential
oski15a01b44s,5,exponential,partial,2,79019,14547,79019,5.431979102220389,sub-exponential
beemfrogs4f1,5,exponential,partial,2,5250,258,5250,20.348837209302324,exponential
arbitrated_top_n5_w8_d32_e0,5,exponential,complete,5,7487,1418,2726,5.2799717912552895,sub-exponential
6s428rb098,5,exponential,partial,1,6451,6451,6451,1.0,insufficient
6s20,5,exponential,partial,2,74375,282,74375,263.7411347517731,exponential
arbitrated_top_n4_w16_d32_e0,5,exponential,complete,5,834084,2170,3202,384.3705069124424,sub-exponential
arbitrated_top_n3_w8_d16_e0,5,exponential,complete,5,9075,461,1420,19.685466377440346,sub-exponential
oski15a01b42s,5,exponential,partial,2,79019,14547,79019,5.431979102220389,sub-exponential
oski3b0i,5,exponential,complete,5,330,7,330,47.142857142857146,exponential
zipcpu-busdelay-p15,5,linear,partial,1,629,629,629,1.0,insufficient
cal119,5,exponential,partial,2,57854,2,57854,28927.0,exponential
beemadd4b1,5,exponential,partial,2,899,18,899,49.94444444444444,exponential
zipcpu-busdelay-p43,5,linear,partial,2,1592,630,1592,2.526984126984127,sub-exponential
arbitrated_top_n3_w16_d128_e0,5,exponential,complete,5,8159,6268,7210,1.301691129546905,constant
pdtvsarmultip08,5,linear,partial,1,54,54,54,1.0,insufficient
arbitrated_top_n3_w8_d128_e0,5,exponential,complete,5,6233,3188,4292,1.9551442910915935,constant
oski2b4i,5,linear,partial,1,7,7,7,1.0,insufficient
pdtpmsns2,5,exponential,partial,2,714,328,714,2.176829268292683,sub-exponential
qspiflash_qflexpress_divfive-p036,5,exponential,partial,4,2987,200,2987,14.935,exponential
qspiflash_dualflexpress_divthree-p113,5,exponential,partial,4,2860,232,2860,12.327586206896552,exponential
arbitrated_top_n5_w64_d16_e0,5,exponential,complete,5,16054,5293,6568,3.033062535424145,sub-exponential
cmudme2,5,exponential,complete,5,101,54,101,1.8703703703703705,constant
intel020,5,exponential,partial,1,311,311,311,1.0,insufficient
qspiflash_dualflexpress_divthree-p034,5,exponential,partial,4,2859,231,2859,12.376623376623376,exponential
counterp0,5,linear,partial,1,10,10,10,1.0,insufficient
zipversa_composecrc_prf-p00,5,linear,partial,1,8877,8877,8877,1.0,insufficient
bj08amba2g4f3,5,exponential,complete,5,7189,23,651,312.5652173913044,exponential
bob12s02,5,linear,partial,1,229,229,229,1.0,insufficient
arbitrated_top_n3_w32_d16_e0,5,exponential,complete,5,185687,1637,2329,113.43127672571778,sub-exponential
mul7,5,linear,partial,1,1027,1027,1027,1.0,insufficient
qspiflash_qflexpress_divfive-p121,5,exponential,partial,4,2994,200,2994,14.97,exponential
bc57sensorsp1,5,exponential,complete,5,1287,94,1287,13.691489361702128,exponential
arbitrated_top_n4_w16_d64_e0,5,exponential,complete,5,47929,4235,5443,11.317355371900826,sub-exponential
visprodcellp01,5,linear,partial,2,66,47,66,1.4042553191489362,constant
irstdme6,5,exponential,partial,3,643,216,643,2.9768518518518516,sub-exponential
vis_arrays_buf_bug,5,exponential,complete,5,360557,23,231,15676.391304347826,exponential
6s0,5,exponential,partial,2,1771,118,1771,15.008474576271187,exponential
cal4,5,exponential,partial,2,1309,2,1309,654.5,exponential
6s13,5,exponential,partial,1,36561,36561,36561,1.0,insufficient
boblivear,5,exponential,complete,5,506812,82,396782,6180.634146341464,exponential
oski15a01b65s,5,linear,partial,2,77588,14547,77588,5.333608304117687,sub-exponential
mentorbm1and,5,exponential,partial,1,4868,4868,4868,1.0,insufficient
arbitrated_top_n2_w64_d64_e0,5,exponential,complete,5,9128,8323,9032,1.0967199327165686,constant
6s374b029,5,linear,partial,1,38725,38725,38725,1.0,insufficient
shift_register_top_w16_d16_e0,5,exponential,partial,4,56715,285,3111,199.0,exponential
beemndhm4b3,5,exponential,partial,1,96138,96138,96138,1.0,insufficient
neclaftp1002,5,linear,partial,2,7880,7880,7880,1.0,constant
pdtvisrethersqo0,5,linear,partial,1,33,33,33,1.0,insufficient
texasparsesysp2,5,linear,partial,1,312,312,312,1.0,insufficient
cal176,5,exponential,partial,1,245965,245965,245965,1.0,insufficient
6s380b511,5,linear,partial,1,5583,5583,5583,1.0,insufficient
zipcpu-busdelay-p46,5,exponential,partial,2,1587,629,1587,2.5230524642289347,sub-exponential
oski2ub0i,5,exponential,partial,2,98694,7,98694,14099.142857142857,exponential
intel012,5,exponential,partial,1,128502,128502,128502,1.0,insufficient
qspiflash_dualflexpress_divfive-p120,5,exponential,partial,4,2820,233,2820,12.103004291845494,exponential
zipcpu-busdelay-p00,5,exponential,partial,2,1589,630,1589,2.522222222222222,sub-exponential
pdtvisgigamax3,5,exponential,partial,2,547,62,547,8.82258064516129,sub-exponential
arbitrated_top_n3_w16_d32_e0,5,exponential,complete,5,4937,1634,2516,3.021419828641371,sub-exponential
arbitrated_top_n2_w128_d64_e0,5,exponential,complete,5,45329,16579,17449,2.7341214789794317,sub-exponential
oski1rub03i,5,linear,partial,2,102021,7,102021,14574.42857142857,exponential
power2bit8,5,linear,partial,2,15,9,9,1.6666666666666667,constant
zipcpu-busdelay-p47,5,exponential,partial,2,1586,628,1586,2.5254777070063694,sub-exponential
vis_arrays_am2910_p3,5,exponential,partial,1,380,380,380,1.0,insufficient
shift_register_top_w64_d8_e0,5,exponential,partial,3,1266,587,1266,2.1567291311754686,sub-exponential
qspiflash_dualflexpress_divthree-p121,5,exponential,partial,4,2859,231,2859,12.376623376623376,exponential
cal123,5,exponential,partial,2,54145,2,54145,27072.5,exponential
6s119,5,exponential,complete,5,18797,18762,18762,1.0018654727640977,constant
6s357r,5,exponential,partial,3,1455,192,1455,7.578125,sub-exponential
pdtvisgigamax4,5,linear,partial,1,62,62,62,1.0,insufficient
cal149,5,exponential,partial,1,3445,3445,3445,1.0,insufficient
qspiflash_dualflexpress_divthree-p068,5,exponential,partial,4,2859,231,2859,12.376623376623376,exponential
beemandrsn4b1,5,exponential,partial,1,275,275,275,1.0,insufficient
