instance_name,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size
139442p0,linear,113751,10,11375.10,1,1,success (10/10),not available,not available,,not available,not available,
139442p1,linear,115363,not started,,NA,NA,not started,not available,not available,,not available,not available,
139443p0,linear,179303,10,17930.30,1,1,success (10/10),not available,not available,,not available,not available,
139443p5,linear,181350,not started,,NA,NA,not started,not available,not available,,not available,not available,
139444p0,linear,256983,10,25698.30,1,1,success (10/10),not available,not available,,not available,not available,
139444p22,linear,261680,not started,,NA,NA,not started,not available,not available,,not available,not available,
139452p0,linear,188197,10,18819.70,1,1,success (10/10),not available,not available,,not available,not available,
139453p0,linear,289772,10,28977.20,1,1,success (10/10),not available,not available,,not available,not available,
139454p0,linear,415087,10,41508.70,1,1,success (10/10),not available,not available,,not available,not available,
139462p0,linear,319065,10,31906.50,1,1,success (10/10),not available,not available,,not available,not available,
139463p0,linear,468477,10,46847.70,1,1,success (10/10),not available,not available,,not available,not available,
139464p0,linear,658257,10,65825.70,1,1,success (10/10),not available,not available,,not available,not available,
6s120,linear,75067,239686,0.31,2,130032,success (10/10),not available,not available,,not available,not available,
6s159,linear,48762,872,55.92,20,218,success (10/10),not available,not available,,not available,not available,
6s164,linear,36366,11,3306.00,1,2,success (10/10),not available,not available,,not available,not available,
6s202b00,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
6s202b41,linear,16558475,43,385080.81,1,7,success (10/10),not available,not available,,not available,not available,
6s204b19,linear,5955742,546,10907.95,1,171,success (10/10),not available,not available,,not available,not available,
6s205b20,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
6s206rb025,linear,4170660,35,119161.71,1,4,success (10/10),not available,not available,,not available,not available,
6s206rb103,linear,4170660,57,73169.47,4,9,success (10/10),not available,not available,,not available,not available,
6s207rb28,linear,1155911,not started,,NA,NA,not started,not available,not available,,not available,not available,
6s209b0,linear,887629,225,3945.02,4,37,success (10/10),not available,not available,,not available,not available,
6s215rb0,linear,312784,not started,,NA,NA,not started,not available,not available,,not available,not available,
6s216rb0,linear,313084,243,1288.41,1,90,success (10/10),not available,not available,,not available,not available,
6s221rb14,linear,7540936,105,71818.44,2,14,success (10/10),not available,not available,,not available,not available,
6s273b37,linear,2454970,23,106737.83,1,4,success (10/10),not available,not available,,not available,not available,
6s290,linear,3552698,19,186984.11,1,2,success (10/10),not available,not available,,not available,not available,
6s306rb03,linear,1452968,67,21686.09,1,16,success (10/10),not available,not available,,not available,not available,
6s307rb09,linear,1209708,63,19201.71,1,11,success (10/10),not available,not available,,not available,not available,
6s326rb08,linear,655774,186,3525.67,1,49,success (10/10),not available,not available,,not available,not available,
6s342rb131,linear,10951161,251,43630.12,1,129,success (10/10),not available,not available,,not available,not available,
6s344rb054,linear,2587463,2953,876.22,48,610,success (10/10),not available,not available,,not available,not available,
6s344rb150,linear,2584515,119,21718.61,1,30,success (10/10),not available,not available,,not available,not available,
6s350rb35,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
6s350rb46,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
6s351rb15,linear,652477,1292,505.01,2,487,success (10/10),not available,not available,,not available,not available,
6s355rb08740,linear,2409791,61,39504.77,3,9,success (10/10),not available,not available,,not available,not available,
6s355rb11080,linear,2409659,55,43811.98,2,11,success (10/10),not available,not available,,not available,not available,
6s362rb1,linear,264411,14,18886.50,1,4,success (10/10),not available,not available,,not available,not available,
6s372rb26,linear,241793,324,746.27,2,112,success (10/10),not available,not available,,not available,not available,
6s374b029,linear,10700988,not started,,NA,NA,not started,not available,not available,,not available,not available,
