instance_name,best_model,best_r2_score
139442p1,linear,-1.0
arbitrated_top_n4_w128_d16_e0,polynomial,0.9875765329908796
zipcpu-busdelay-p36,polynomial,0.9711923995695078
qspiflash_dualflexpress_divthree-p143,linear,0.9502797479540771
qspiflash_qflexpress_divfive-p029,polynomial,0.9812327831715634
zipcpu-pfcache-p22,linear,0.932338567016647
vgasim_imgfifo-p105,polynomial,0.9540369203040368
gen35,polynomial,0.9658371009392974
nusmvbrp,polynomial,0.9835163517085229
6s362rb1,linear,0.9983537031492349
6s372rb26,linear,0.9986344851661532
6s320rb1,exponential,0.9999824359004895
zipcpu-zipmmu-p33,exponential,0.9753973721784829
oski15a01b25s,linear,0.9989634670790595
visemodel,linear,0.9634313507173023
oc8051gm2daddr,linear,0.9532467703204491
oski2b5i,linear,0.9814824892193833
6s159,linear,0.9878164135864997
qspiflash_qflexpress_divfive-p017,linear,0.996779674821927
mul7,linear,-1.0
6s380b511,linear,0.9909472934472935
gen44,exponential,0.9115481801773281
cal41,polynomial,0.966216568848041
bc57sensorsp0,polynomial,0.9867732624976896
beemfwt2b2,exponential,0.9684528112172129
139462p0,linear,0.9967085513151166
pj2006,polynomial,0.9780887015071918
6s339rb22,polynomial,0.9294828495334595
6s357r,exponential,0.9897405395827519
qspiflash_dualflexpress_divfive-p009,polynomial,0.9908543073390925
oski15a01b57s,linear,0.9938552277988141
mentorbm1p02,polynomial,0.9306419241369072
qspiflash_dualflexpress_divthree-p012,exponential,0.9929764762706633
texaspimainp12,polynomial,0.9590633174111706
6s277rb292,polynomial,0.9822995284982065
qspiflash_dualflexpress_divfive-p116,polynomial,0.9911752242164981
oski15a01b22s,linear,0.9870933135679554
oski15a01b51s,linear,-1.0
pdtvisblackjack1,linear,0.9957228089769538
nusmvtcastp3,linear,0.990641388866941
oski15a08b09s,linear,0.9484807342958218
eijks349,polynomial,0.899577426589021
pdtvsarmultip29,linear,0.9922296436901585
oski15a14b12s,polynomial,0.953970321144604
oski2b4i,linear,0.9881740969639424
qspiflash_qflexpress_divfive-p137,polynomial,0.9833771925765897
intel012,exponential,0.9921185122513163
qspiflash_dualflexpress_divfive-p022,linear,0.9942153657832467
zipcpu-pfcache-p02,polynomial,0.9154902499886514
visarbiter,polynomial,0.9927026362441805
shift1add2048,linear,0.9956037560142791
beemptrsn4b1,polynomial,0.9816045639708939
bobtuint16neg,polynomial,0.9937087774845638
qspiflash_qflexpress_divfive-p121,exponential,0.9870204129293889
bobsynthetic2,linear,-1.0
139452p0,linear,0.9987158099804977
6s0,exponential,0.974461016894611
zipcpu-zipmmu-p31,polynomial,0.9774358004376887
6s20,exponential,0.9999776892577122
6s380b129,linear,0.9932007436284043
arbitrated_top_n4_w16_d32_e0,exponential,0.9495519008139465
oski15a07b3s,None,
6s269r,exponential,0.9730311816506113
oski15a08b16s,linear,0.9882370224241597
oc8051gmfbaddr,linear,0.9517283433960643
intel040,exponential,0.9430151377891529
pdtvisblackjack2,linear,0.9976445242346158
nusmvsyncarb5p2,linear,1.0
elevator,None,
6s355rb11080,linear,0.9984168728472238
rast-p04,linear,0.9804623121164017
bobtuint20neg,polynomial,0.987113051353272
pj2003,linear,0.9931896063815077
cal37,polynomial,0.9736020636118364
boblivea,polynomial,0.9958432486608877
oski15a10b03s,linear,-1.0
picorv32_mutBY_nomem-p1,exponential,0.9995774361039668
intel044,polynomial,0.9679547154031238
oski15a14b07s,linear,0.9846144043750946
gen12,polynomial,0.9820484405157082
qspiflash_dualflexpress_divthree-p005,polynomial,0.9910175898552402
dspfilters_fastfir_second-p07,polynomial,0.9636936576620351
arbitrated_top_n3_w64_d128_e0,exponential,0.9283185406152697
6s288r,polynomial,0.9890007576320741
picorv32-check-p05,linear,0.9559317524163935
oc8051gm98addr,linear,0.938871711234143
picorv32_mutAX_nomem-p5,exponential,0.9469639653089503
eijks298,linear,0.9457965582101329
oski15a01b42s,exponential,0.9548272947565521
neclaftp5001,linear,1.0
viscoherencep2,linear,0.9327831277673846
intel046,polynomial,0.9783733398291505
intel038,linear,0.9937544715962727
kenflashp13,linear,0.9957791177451996
139463p0,linear,0.9948093262265362
vcegar_arrays_itc99_b12_p2,polynomial,0.9857141427099861
prodcellp1,linear,0.9953405973892443
6s301rb106,polynomial,0.974904356603889
vgasim_imgfifo-p089,polynomial,0.9489188094004156
6s109,exponential,0.995313368278235
arbitrated_top_n2_w64_d64_e0,exponential,0.93774864953036
pdtvisgigamax4,linear,0.9081424732702057
oski15a14b08s,polynomial,0.9712436248084569
oski15a01b04s,linear,0.9979889373020138
139454p0,linear,0.9980500792784832
bobcohdoptdcd4,exponential,0.9780690569467981
beemelev2f1,linear,0.9787547984594882
picorv32_mutCX_nomem-p0,exponential,0.9997470471049498
oski15a14b21s,linear,0.9648526147672151
beemfwt3f3,linear,0.9969164077410552
oski15a01b44s,exponential,0.9819585706928247
oski15a01b23s,linear,0.9762544347422547
oski15a10b01s,linear,0.9988394836416012
intel057,linear,0.946386995527483
oski15a01b67s,linear,0.9697633502164812
eijks832,polynomial,0.9914670665719931
qspiflash_dualflexpress_divthree-p153,polynomial,0.9872386313366085
pdtvisgray0,linear,1.0
mentorbm1p09,exponential,0.9518814575342236
circular_pointer_top_w32_d16_e0,polynomial,0.9785875881857011
139443p0,linear,0.998009397495164
pdtvisvending09,linear,0.9935093288872797
arbitrated_top_n5_w64_d16_e0,exponential,0.9710582601767765
mentorbm1p01,linear,0.9979348079865286
oski15a07b5s,None,
zipcpu-pfcache-p01,polynomial,0.9882911801860208
power2eq32768,polynomial,0.9901145808136138
qspiflash_dualflexpress_divthree-p113,exponential,0.969228772815921
pj2015,polynomial,0.8914319714769952
pdtvisgoodbakery0,polynomial,0.985194058904826
oc8051gm12data,polynomial,0.9883492741443856
cal162,polynomial,0.9438201178202603
oski15a14b17s,polynomial,0.9736866504058082
oski15a01b11s,linear,0.9903202269953371
6s173,polynomial,0.9933003912531707
qspiflash_qflexpress_divfive-p036,exponential,0.9954646559653636
oski15a08b11s,linear,-1.0
picorv32_mutBY_nomem-p7,exponential,0.953953849539133
oski15a01b69s,linear,0.9987944987374914
qspiflash_qflexpress_divfive-p139,polynomial,0.9931638913236034
qspiflash_qflexpress_divfive-p048,polynomial,0.9542999324836505
oski15a01b29s,linear,0.9965690041366994
qspiflash_dualflexpress_divthree-p032,polynomial,0.993673499783464
6s108,polynomial,0.9941490875759015
texasparsesysp3,polynomial,0.9935767410412442
brp2,None,
bob3,polynomial,0.9893900876774893
